Date,TWD,TWS
2016-09-25 10:33:46,269,17.8736
2016-09-25 10:33:50,285,17.0062
2016-09-25 10:33:54,273,17.855
2016-09-25 10:33:58,285,17.4258
2016-09-25 10:34:02,263,19.0304
2016-09-25 10:34:06,262,17.6366
2016-09-25 10:34:10,244,18.4764
2016-09-25 10:34:14,243,19.2677
2016-09-25 10:34:18,269,15.8445
2016-09-25 10:34:22,274,15.9445
2016-09-25 10:34:26,293,15.7039
2016-09-25 10:34:30,302,19.0091
2016-09-25 10:34:34,290,18.3275
2016-09-25 10:34:38,321,17.3978
2016-09-25 10:34:42,284,19.3748
2016-09-25 10:34:46,254,21.2002
2016-09-25 10:34:50,277,20.6459
2016-09-25 10:34:54,264,21.7503
2016-09-25 10:34:58,283,21.0658
2016-09-25 10:35:02,277,21.769
2016-09-25 10:35:06,289,20.5694
2016-09-25 10:35:10,270,21.2084
2016-09-25 10:35:14,258,20.7878
2016-09-25 10:35:18,289,17.3431
2016-09-25 10:35:22,267,16.199
2016-09-25 10:35:26,253,16.5079
2016-09-25 10:35:30,247,17.2212
2016-09-25 10:35:34,246,20.2045
2016-09-25 10:35:38,311,16.1843
2016-09-25 10:35:42,263,19.224
2016-09-25 10:35:46,267,18.8536
2016-09-25 10:35:51,303,16.6837
2016-09-25 10:35:55,256,18.853
2016-09-25 10:35:59,234,20.4553
2016-09-25 10:36:03,242,21.0193
2016-09-25 10:36:07,253,20.4252
2016-09-25 10:36:11,265,19.9308
2016-09-25 10:36:15,322,17.7405
2016-09-25 10:36:19,262,18.5033
2016-09-25 10:36:23,306,17.7857
2016-09-25 10:36:27,281,18.1088
2016-09-25 10:36:31,281,16.3301
2016-09-25 10:36:35,298,16.9864
2016-09-25 10:36:39,307,16.804
2016-09-25 10:36:43,300,17.1106
2016-09-25 10:36:47,307,17.2437
2016-09-25 10:36:51,310,17.7574
2016-09-25 10:36:55,268,19.0636
2016-09-25 10:36:59,245,21.5772
2016-09-25 10:37:03,258,20.8778
2016-09-25 10:37:07,264,21.358
2016-09-25 10:37:11,243,21.8175
2016-09-25 10:37:15,256,24.4927
2016-09-25 10:37:19,265,25.7166
2016-09-25 10:37:23,297,28.3181
2016-09-25 10:37:27,256,25.2197
2016-09-25 10:37:31,269,25.0567
2016-09-25 10:37:35,330,26.0963
2016-09-25 10:37:39,260,21.1499
2016-09-25 10:37:43,274,22.1741
2016-09-25 10:37:47,280,21.1548
2016-09-25 10:37:51,265,20.2925
2016-09-25 10:37:55,250,20.4652
2016-09-25 10:37:59,281,26.9952
2016-09-25 10:38:03,268,26.2119
